family	group_id	repository	path	ref	direct_skill_url	archetype	relatedness_score	group_member_count	occurrence_count	length_delta	added_headings	removed_headings	added_commands	removed_commands	added_cross_skill_refs	removed_cross_skill_refs	routing_signals	wrapper_signals	workflow_structure_delta	short_added_excerpt	short_removed_excerpt	meaningful_behavior_change	motif_1	motif_2	motif_3	worth_reviewing	notes
frontend-design	41	dawsonblock/agent_eval_skills_merged_clean	agent-skills-curated/skills/web-and-frontend-development/frontend-design/SKILL.md	main	https://github.com/dawsonblock/agent_eval_skills_merged_clean/blob/main/agent-skills-curated/skills/web-and-frontend-development/frontend-design/SKILL.md	workflow-specialization	0.464	1	1	-0.44127622158020346	14	5	0	0	0	0			1.267	++ | Create memorable interfaces with clear artistic direction and production-ready implementation. | ## Scope	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add 4-step definition/constraint/implement/refine workflow			PARTIAL	
frontend-design	42	enbyaugust/zacs-claude-skills	skills/frontend-design/SKILL.md	master	https://github.com/enbyaugust/zacs-claude-skills/blob/master/skills/frontend-design/SKILL.md	workflow-specialization	0.471	1	1	-0.4852405476698907	12	5	0	0	0	0			1.308	++ | > Create distinctive, production-grade frontend interfaces that avoid generic AI aesthetics. | <when_to_use>	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	NO				NO	
frontend-design	43	projectious-work/aibox	context/templates/processkit/v0.26.18/context/skills/design/frontend-design/SKILL.md	main	https://github.com/projectious-work/aibox/blob/main/context/templates/processkit/v0.26.18/context/skills/design/frontend-design/SKILL.md	workflow-specialization	0.456	1	1	0.7642255997990203	16	5	0	0	0	0			1.235	++ | ## Intro | Good frontend design starts with semantic HTML, small	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add accessibility-first and semantic-HTML scaffolding rules			YES	
frontend-design	44	Houseofmvps/ultraship	skills/frontend-design/SKILL.md	main	https://github.com/Houseofmvps/ultraship/blob/main/skills/frontend-design/SKILL.md	expanded-guidance	0.473	1	1	1.106770506217812	8	6	1	0	0	0	owns		1.75	++ | This skill combines three disciplines: **product design** (does it solve the right problem?), **UX design** (can users a | The user provides frontend requirements: a component, page, application, or interface to build. They may include context	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Split skill into product/UX/visual design disciplines			YES	
frontend-design	45	dr4ken-soul/Mnemix	FRONTEND_SKILL.md	master	https://github.com/dr4ken-soul/Mnemix/blob/master/FRONTEND_SKILL.md	routing-specialization	0.559	1	1	21.11418163547293	141	6	4	0	1	0	do not use		1.043	++ | # Frontend Design Skill | You are a senior frontend engineer and product designer. You build interfaces that feel premium, intentional and alive. 	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	PARTIAL	Add huge mega-file with brief-inference mandator (absorber)			MAYBE	
frontend-design	46	baralmanish/AI-Agent-Skills	skills/frontend-design/SKILL.md	main	https://github.com/baralmanish/AI-Agent-Skills/blob/main/skills/frontend-design/SKILL.md	compact-rewrite	0.466	1	1	-0.5446551940710966	4	5	0	1	0	0			1.5	"++ | Create distinctive, production-grade frontend interfaces that avoid generic ""AI slop"" aesthetics. Implement real working | ## Design Thinking"	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	NO				NO	
frontend-design	47	diegosouzapw/awesome-omni-skills	skills/frontend-design/SKILL.md	main	https://github.com/diegosouzapw/awesome-omni-skills/blob/main/skills/frontend-design/SKILL.md	routing-specialization	0.471	1	1	1.4009546539379476	37	6	0	0	5	0	heading: Related Skills; owns; related skills		1.162	++ | # frontend-design | ## Overview	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	NO				NO	
frontend-design	48	byerlikaya/claude-starter-kit	plugin/skills/frontend-design/SKILL.md	main	https://github.com/byerlikaya/claude-starter-kit/blob/main/plugin/skills/frontend-design/SKILL.md	workflow-specialization	0.44	1	1	-0.49478708704936564	6	6	0	0	2	0			2.0	++ | # Frontend Design (visual & UX quality) | <!-- routing-eval reads this line; it lives in the BODY so the always-on skill LISTING stays inside	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	YES	Add ordered-levers hierarchy and invariant rules			YES	
frontend-design	49	ceilf6/FrontAgent	skills/frontend-design/SKILL.md	develop	https://github.com/ceilf6/FrontAgent/blob/develop/skills/frontend-design/SKILL.md	compact-rewrite	0.464	1	2	-0.6134907674915212	5	5	0	1	0	0	do not use		1.667	++ | Use this skill to produce frontend work that feels intentionally designed rather than generic. The goal is not maximalis | ## Trigger	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add trigger/do-not-use/output-contract guardrails			YES	
frontend-design	50	escoffier-labs/solos-cookbook	skills/frontend-design/SKILL.md	main	https://github.com/escoffier-labs/solos-cookbook/blob/main/skills/frontend-design/SKILL.md	compact-rewrite	0.49	1	1	-0.7201356613490767	13	5	0	0	0	0			1.286	++ | > Attribution: inspired by Anthropic's `frontend-design` skill for Claude Code. This is a rewritten, trimmed-down varian | Do not ship default-looking UI.	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add attribution header to trimmed rewrite			MAYBE	
frontend-design	51	time-ofourlife/OCEAN-OF-NMIXX	.codex_tmp/frontend-design/SKILL.md	main	https://github.com/time-ofourlife/OCEAN-OF-NMIXX/blob/main/.codex_tmp/frontend-design/SKILL.md	compact-rewrite	0.468	1	1	-0.6610978520286396	2	6	0	0	0	0			1.333	++ | Use this skill when the task is mainly frontend design, visual polish, or UI implementation quality. | The goal is to produce working code that feels deliberate and memorable rather than generic. Favor strong aesthetic choi	-- | # Frontend Design | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis	NO				PARTIAL	
frontend-design	52	dlwlgus9125/EZPowers	skills/frontend-design/SKILL.md	main	https://github.com/dlwlgus9125/EZPowers/blob/main/skills/frontend-design/SKILL.md	compact-rewrite	0.439	1	1	-0.5804547167441276	3	5	2	1	0	0	owns		1.333	++ | Settle the UI contract before implementation. Produce a broad frontend artifact | and, for each independent visual brand, a machine-readable `DESIGN.md`.	-- | Approach this as the design lead at a small studio known for giving every client a visual identity that could not be mis | ## Ground it in the subject	YES	Add machine-readable design contract (DESIGN.md) before implementation			YES	
